"timestamp","game_id","player_id","player_type","player_color","current_turn","action","action_status","displayed_score","wagons_cards_hand_count","destination_cards_hand_count","calculated_current_destination_score"
"343310686055900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","32","CLAIM_ROUTE","YES","52","8","4","-44"
"343310686534800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","33","CLAIM_ROUTE","YES","28","4","4","-40"
"343310686674200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","33","PICK_WAGON_CARD","YES","27","6","4","-45"
"343310686778300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","33","PICK_WAGON_CARD","YES","56","10","4","-44"
"343310687082400","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","34","PICK_WAGON_CARD","YES","30","6","4","-40"
"343310687257600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","34","CLAIM_ROUTE","YES","27","3","4","-45"
"343310687392100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","34","CLAIM_ROUTE","YES","56","8","4","-44"
"343310687825900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","35","CLAIM_ROUTE","YES","30","4","4","-40"
"343310687970500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","35","PICK_WAGON_CARD","YES","31","4","4","-45"
"343310688059500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","35","PICK_WAGON_CARD","YES","58","10","4","-44"
"343310688555000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","36","CLAIM_ROUTE","YES","32","2","4","-40"
"343310688754200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","36","CLAIM_ROUTE","YES","31","2","4","-45"
"343310688963800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","36","CLAIM_ROUTE","YES","58","8","4","-44"
"343310689425900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","37","PICK_WAGON_CARD","YES","34","3","4","-40"
"343310689548500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","37","PICK_WAGON_CARD","YES","33","4","4","-45"
"343310689632000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","37","PICK_WAGON_CARD","YES","60","10","4","-44"
"343310690099600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","38","PLACE_STATION","YES","34","0","4","-40"
"343310690211300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","38","PICK_WAGON_CARD","YES","33","6","4","-45"
"343310690361300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","38","CLAIM_ROUTE","YES","60","7","4","-44"
"343310690771300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","39","PICK_WAGON_CARD","YES","34","2","4","-40"
"343310690944900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","39","CLAIM_ROUTE","YES","33","4","4","-45"
"343310691071000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","39","PICK_WAGON_CARD","YES","64","9","4","-44"
"343310691469800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","40","PICK_WAGON_CARD","YES","34","4","4","-40"
"343310691585500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","40","PICK_WAGON_CARD","YES","35","6","4","-45"
"343310702825900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","40","WINNER","NO","38","4","4","-40"
"343310702911000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","40","WINNER","NO","25","6","4","-45"
"343310702983900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","40","WINNER","YES","96","9","4","-44"
"343310706096600","0f6f69fc-4b68-485e-8020-b33b10ea47af","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","1","CLAIM_ROUTE","YES","0","2","5","-65"
"343310706240100","0f6f69fc-4b68-485e-8020-b33b10ea47af","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","1","CLAIM_ROUTE","YES","0","3","5","-68"
"343310706270000","0f6f69fc-4b68-485e-8020-b33b10ea47af","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","1","PICK_WAGON_CARD","YES","0","6","5","-68"
"343310706419500","0f6f69fc-4b68-485e-8020-b33b10ea47af","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","2","CLAIM_ROUTE","YES","2","1","5","-65"
"343310706587600","0f6f69fc-4b68-485e-8020-b33b10ea47af","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","2","PLACE_STATION","YES","1","2","5","-68"
